,cell_id,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,Cluster
0,4303,1654.3671813964845,2017.9083007812496,416,0,0,416,490.21625,82.184375,Stromal
1,4304,1669.2595092773438,2026.4759521484373,560,1,0,561,348.74171875,110.22640625,Invasive_Tumor
2,4305,1660.0681579589843,2040.8008178710936,315,0,0,315,256.66812500000003,65.70234375,Invasive_Tumor
3,4306,1673.0526550292968,2045.8205078125,348,0,0,348,143.82265625,104.44640625,Invasive_Tumor
4,4307,1659.1583923339842,2052.4864501953125,117,0,0,117,125.35375,19.64296875,Invasive_Tumor
5,4308,1656.4764099121094,2062.7196533203123,165,0,0,165,180.1734375,32.01578125,Prolif_Invasive_Tumor
6,4309,1664.5093872070313,2067.9088867187497,335,0,0,335,187.26296875,49.35578125,Prolif_Invasive_Tumor
7,4310,1674.1972290039062,2071.832043457031,139,2,0,141,112.71,19.73328125,Stromal
8,4311,1667.3865417480467,2079.505078125,195,0,0,195,160.8465625,22.44265625,Endothelial
9,4312,1643.0955505371094,2082.3321166992187,328,0,1,329,290.12890625,73.19828125000001,Stromal
10,4313,1641.7739624023436,2095.0904174804687,303,0,0,303,375.2484375,62.8575,Stromal
11,4314,1661.9761962890625,2092.725524902344,226,0,0,226,309.45578125000003,32.91890625,Macrophages_1
12,4315,1659.5020446777344,2109.581506347656,395,0,0,395,390.82734375,22.939375,Prolif_Invasive_Tumor
13,4316,1654.534338378906,2121.684875488281,67,0,0,67,88.4159375,6.4121875,Invasive_Tumor
14,4317,1645.7877014160156,2124.130285644532,164,1,0,165,114.01953125,45.15625,Invasive_Tumor
15,4318,1665.393731689453,2125.4005126953125,354,0,0,354,177.55437500000002,34.27359375,Invasive_Tumor
16,4319,1656.7027099609377,2135.197509765625,247,0,0,248,153.12484375,29.66765625,Invasive_Tumor
17,4320,1645.3632202148438,2138.3455810546875,421,0,0,421,214.4921875,114.7871875,Invasive_Tumor
18,4321,1673.9470642089843,2137.9469360351563,456,0,0,456,321.87375000000003,35.4025,Invasive_Tumor
19,4322,1663.9366333007813,2150.6357177734376,436,0,0,436,228.53578125,48.904218750000005,Invasive_Tumor
20,4323,1651.1887084960938,2151.436535644531,197,0,0,197,110.58765625,22.3975,Invasive_Tumor
21,4324,1647.8419372558594,2160.016638183594,140,0,0,140,106.25265625,36.44109375,Invasive_Tumor
22,4326,1658.42138671875,2160.2256103515624,110,0,0,110,66.15390625,25.64875,Invasive_Tumor
23,4327,1657.159356689453,2172.970422363281,430,0,0,430,219.0078125,135.649375,Invasive_Tumor
24,4328,1666.4094360351562,2171.958349609375,168,0,0,168,112.8003125,33.460781250000004,Invasive_Tumor
25,4329,1646.225048828125,2170.0209472656247,170,0,0,170,90.71890625,45.201406250000005,Invasive_Tumor
26,4330,1649.7372131347656,2183.452648925781,402,0,0,402,192.77203125,93.1121875,Invasive_Tumor
27,4331,1668.1427429199218,2187.816369628906,436,0,1,437,228.80671875,88.82234375,Invasive_Tumor
28,4332,1647.1452941894531,2196.0235595703125,374,0,0,374,182.1603125,69.45031250000001,Invasive_Tumor
29,4333,1668.751708984375,2197.939172363281,110,0,0,110,67.05703125000001,28.719375000000003,Invasive_Tumor
30,4334,1659.4275451660155,2206.6276000976563,615,0,0,615,282.9490625,109.50390625,Invasive_Tumor
31,4335,1650.4959045410155,2206.9044311523435,214,0,0,214,132.71421875,33.9575,Stromal
32,4336,1673.0065856933593,2209.290698242188,416,0,1,418,199.00359375,110.76828125,Invasive_Tumor
33,4337,1670.5376220703124,2221.1122558593747,223,0,0,223,122.32828125,32.331875000000004,Invasive_Tumor
34,4338,1663.5166137695312,2224.7882568359373,208,0,0,208,124.04421875,24.745625,Invasive_Tumor
35,4339,1651.00712890625,2231.225927734375,398,1,0,399,355.69578125000004,43.12421875,Endothelial
36,4340,1664.5822265625,2243.1765625,297,0,0,297,219.3690625,35.537968750000005,Invasive_Tumor
37,4341,1651.0437561035155,2245.898181152344,219,0,0,219,210.38296875,40.50515625,Macrophages_1
38,4342,1644.0017883300782,2250.428747558594,85,0,0,85,66.96671875,14.81125,CD8+_T_Cells
39,4344,1669.803936767578,2261.5661132812497,487,0,0,487,343.59390625000003,57.980625,Invasive_Tumor
40,4345,1659.9833862304688,2282.3805297851563,465,2,0,468,604.8228125,34.138125,Stromal
41,4346,1657.348095703125,2306.397180175781,508,1,0,509,602.24890625,40.82125,Stromal
42,4347,1658.6946899414063,2373.1732299804685,347,0,0,347,729.4992187500001,39.42140625,Stromal
43,4348,1671.9419067382812,2385.811584472656,244,0,0,244,283.9425,47.143125000000005,Stromal
44,4349,1656.7256408691403,2395.1501708984374,198,0,0,198,159.22093750000002,32.87375,Stromal
45,4351,1645.3762939453125,2399.849658203125,203,1,0,204,375.0678125,32.2415625,Stromal
46,4567,1640.6495178222656,1803.056066894531,167,0,0,167,115.37421875,49.44609375,Invasive_Tumor
47,4569,1658.960626220703,1810.1700439453125,287,0,0,287,179.85734375,143.6871875,Invasive_Tumor
48,4570,1648.143359375,1812.021740722656,342,1,0,343,206.093125,111.265,Prolif_Invasive_Tumor
49,4571,1666.0466918945312,1811.4724365234372,85,1,0,86,51.07171875,39.7375,Prolif_Invasive_Tumor
50,4572,1672.1066772460938,1815.167529296875,141,0,0,141,94.828125,63.53484375,Invasive_Tumor
51,4573,1662.424542236328,1821.7612548828124,171,0,0,171,114.47109375,56.94203125,Invasive_Tumor
52,4574,1657.159149169922,1915.786071777344,594,0,0,594,279.24625000000003,99.7953125,Invasive_Tumor
53,4575,1669.281298828125,1922.2007080078124,200,0,0,200,130.00484375,44.7046875,Invasive_Tumor
54,4576,1666.0596618652344,1931.3145507812496,167,0,0,167,92.88640625,35.17671875,Invasive_Tumor
55,4577,1647.4032409667968,1935.51142578125,246,0,0,246,114.38078125,57.1678125,Invasive_Tumor
56,4578,1660.7869018554686,1936.5853393554687,120,0,0,120,109.7296875,14.94671875,Invasive_Tumor
57,4579,1654.8688598632812,1939.2820556640625,204,1,0,205,160.07890625000002,36.35078125,Invasive_Tumor
58,4580,1672.7096252441406,1942.473291015625,257,1,0,258,167.800625,64.52828125,Invasive_Tumor
59,4581,1648.1864196777344,1949.9211669921876,300,0,0,301,166.49109375,46.10453125,Invasive_Tumor
