dataset	cell_class	spatial_domain	n_cells	within_class_fraction
STARmap	superficial	superficial	128	0.8951048951048951
STARmap	superficial	middle	13	0.09090909090909091
STARmap	superficial	deep	0	0.0
STARmap	superficial	inner	2	0.013986013986013986
STARmap	middle	superficial	39	0.20967741935483872
STARmap	middle	middle	131	0.7043010752688172
STARmap	middle	deep	14	0.07526881720430108
STARmap	middle	inner	2	0.010752688172043012
STARmap	deep	superficial	3	0.05084745762711865
STARmap	deep	middle	12	0.2033898305084746
STARmap	deep	deep	34	0.576271186440678
STARmap	deep	inner	10	0.1694915254237288
STARmap	inner	superficial	15	0.07042253521126761
STARmap	inner	middle	8	0.03755868544600939
STARmap	inner	deep	27	0.1267605633802817
STARmap	inner	inner	163	0.7652582159624414
SimSpace	superficial	superficial	966	0.8663677130044843
SimSpace	superficial	middle	139	0.12466367713004484
SimSpace	superficial	deep	10	0.008968609865470852
SimSpace	superficial	inner	0	0.0
SimSpace	middle	superficial	159	0.2423780487804878
SimSpace	middle	middle	436	0.6646341463414634
SimSpace	middle	deep	50	0.07621951219512195
SimSpace	middle	inner	11	0.01676829268292683
SimSpace	deep	superficial	144	0.21428571428571427
SimSpace	deep	middle	168	0.25
SimSpace	deep	deep	310	0.46130952380952384
SimSpace	deep	inner	50	0.0744047619047619
SimSpace	inner	superficial	48	0.05234460196292257
SimSpace	inner	middle	63	0.06870229007633588
SimSpace	inner	deep	242	0.2639040348964013
SimSpace	inner	inner	564	0.6150490730643402
