dataset	gene	expected_class	spatial_domain	n_cells	mean_count	median_count	detection_fraction	normalized_mean_profile
STARmap	Cux2	superficial	superficial	185	2.1243243243243244	2.0	0.7567567567567568	0.539035671003776
STARmap	Cux2	superficial	middle	164	1.4451219512195121	1.0	0.6280487804878049	0.3666917860603326
STARmap	Cux2	superficial	deep	75	0.21333333333333335	0.0	0.17333333333333334	0.054132165773407195
STARmap	Cux2	superficial	inner	177	0.15819209039548024	0.0	0.14124293785310735	0.04014037716248415
STARmap	Rorb	middle	superficial	185	0.34594594594594597	0.0	0.24324324324324326	0.24520580204460124
STARmap	Rorb	middle	middle	164	0.6158536585365854	0.0	0.4146341463414634	0.43651585472593124
STARmap	Rorb	middle	deep	75	0.24	0.0	0.22666666666666666	0.1701115251684421
STARmap	Rorb	middle	inner	177	0.20903954802259886	0.0	0.192090395480226	0.14816681806102536
STARmap	Fezf2	deep	superficial	185	0.2756756756756757	0.0	0.21621621621621623	0.14825898829154696
STARmap	Fezf2	deep	middle	164	0.31097560975609756	0.0	0.22560975609756098	0.16724337093863528
STARmap	Fezf2	deep	deep	75	0.9733333333333334	0.0	0.48	0.5234608200986515
STARmap	Fezf2	deep	inner	177	0.2994350282485876	0.0	0.21468926553672316	0.1610368206711663
STARmap	Deptor	deep	superficial	185	0.43783783783783786	0.0	0.32972972972972975	0.22343944670573096
STARmap	Deptor	deep	middle	164	0.49390243902439024	0.0	0.3353658536585366	0.25205059536926966
STARmap	Deptor	deep	deep	75	0.6266666666666667	0.0	0.41333333333333333	0.31980345499692686
STARmap	Deptor	deep	inner	177	0.4011299435028249	0.0	0.2937853107344633	0.20470650292807255
STARmap	Tshz2	inner	superficial	185	0.10810810810810811	0.0	0.0972972972972973	0.22823458722664708
STARmap	Tshz2	inner	middle	164	0.12804878048780488	0.0	0.12195121951219512	0.2703327351754646
STARmap	Tshz2	inner	deep	75	0.18666666666666668	0.0	0.18666666666666668	0.3940850539446773
STARmap	Tshz2	inner	inner	177	0.05084745762711865	0.0	0.03954802259887006	0.10734762365321113
STARmap	Foxp2	inner	superficial	185	0.14054054054054055	0.0	0.12432432432432433	0.34308706351098284
STARmap	Foxp2	inner	middle	164	0.08536585365853659	0.0	0.07317073170731707	0.2083948157817649
STARmap	Foxp2	inner	deep	75	0.09333333333333334	0.0	0.09333333333333334	0.22784499858806295
STARmap	Foxp2	inner	inner	177	0.0903954802259887	0.0	0.07344632768361582	0.2206731221191893
STARmap	Sulf2	inner	superficial	185	0.24324324324324326	0.0	0.2	0.15486015189112762
