seed	method	metric	value	n_cells
0	expression_only	ARI	0.23375618809688112	42524
0	expression_only	NMI	0.3202986114197669	42524
0	expression_plus_3d	ARI	0.8328631575366595	42524
0	expression_plus_3d	NMI	0.7606857046318644	42524
1	expression_only	ARI	0.41607125827836733	42515
1	expression_only	NMI	0.5693636191243838	42515
1	expression_plus_3d	ARI	0.823935061886519	42515
1	expression_plus_3d	NMI	0.7509289552267122	42515
2	expression_only	ARI	0.1415735856875123	42631
2	expression_only	NMI	0.2540200363428447	42631
2	expression_plus_3d	ARI	0.8024350596745977	42631
2	expression_plus_3d	NMI	0.7256190497214418	42631
3	expression_only	ARI	0.15567282386887776	42511
3	expression_only	NMI	0.27240956176962067	42511
3	expression_plus_3d	ARI	0.798083039425	42511
3	expression_plus_3d	NMI	0.7184608397768397	42511
4	expression_only	ARI	0.20375483914274736	42498
4	expression_only	NMI	0.364441335073088	42498
4	expression_plus_3d	ARI	0.8109341015976004	42498
4	expression_plus_3d	NMI	0.7361669521596316	42498
5	expression_only	ARI	0.5910366134676243	42481
5	expression_only	NMI	0.6488487864442737	42481
5	expression_plus_3d	ARI	0.8305693738274579	42481
5	expression_plus_3d	NMI	0.7593265027250974	42481
6	expression_only	ARI	0.20444115063849103	42567
6	expression_only	NMI	0.36149241070136146	42567
6	expression_plus_3d	ARI	0.7927557788793596	42567
6	expression_plus_3d	NMI	0.7171902071836495	42567
7	expression_only	ARI	0.5901251255043658	42466
7	expression_only	NMI	0.6487115287156431	42466
7	expression_plus_3d	ARI	0.7990780510262565	42466
7	expression_plus_3d	NMI	0.7237367148070254	42466
8	expression_only	ARI	0.4155881934365364	42538
8	expression_only	NMI	0.4696152302067221	42538
8	expression_plus_3d	ARI	0.8137479856152307	42538
8	expression_plus_3d	NMI	0.7380390716437579	42538
9	expression_only	ARI	0.17809596495736257	42672
9	expression_only	NMI	0.3562293636174807	42672
9	expression_plus_3d	ARI	0.8118560069229039	42672
9	expression_plus_3d	NMI	0.7335386905824258	42672
