seed	feature_level	aggregation	n_components	moran_i
0	marker_gene	median	24	0.177841536319755
0	niche_indicator	mean	3	0.5879178115489089
0	phenotype_indicator	mean	6	0.2446076284571774
1	marker_gene	median	24	0.18917081951366943
1	niche_indicator	mean	3	0.5971722075581293
1	phenotype_indicator	mean	6	0.25038202008592336
2	marker_gene	median	24	0.15886623963172114
2	niche_indicator	mean	3	0.5831292351529304
2	phenotype_indicator	mean	6	0.24353398514539107
3	marker_gene	median	24	0.1710423186933333
3	niche_indicator	mean	3	0.599082644180669
3	phenotype_indicator	mean	6	0.2501126719784175
4	marker_gene	median	24	0.1584676688956927
4	niche_indicator	mean	3	0.596362627606844
4	phenotype_indicator	mean	6	0.2501596091778463
5	marker_gene	median	24	0.17964939491613588
5	niche_indicator	mean	3	0.6114968798823784
5	phenotype_indicator	mean	6	0.25444221187827315
6	marker_gene	median	24	0.15907638835990726
6	niche_indicator	mean	3	0.5960232068150699
6	phenotype_indicator	mean	6	0.2490213866651936
7	marker_gene	median	24	0.15689736693253575
7	niche_indicator	mean	3	0.5874421679922767
7	phenotype_indicator	mean	6	0.24596070553703744
8	marker_gene	median	24	0.17031469187792092
8	niche_indicator	mean	3	0.5851746509737108
8	phenotype_indicator	mean	6	0.24453232622014784
9	marker_gene	median	24	0.15688810327900132
9	niche_indicator	mean	3	0.5744464567492117
9	phenotype_indicator	mean	6	0.24127559786468386
