seed	analysis	metric	group	value	n_components	aggregation
0	spatial_structure	Moran_I	marker_gene	0.177841536319755	24	median
0	spatial_structure	Moran_I	niche_indicator	0.5879178115489089	3	mean
0	spatial_structure	Moran_I	phenotype_indicator	0.2446076284571774	6	mean
1	spatial_structure	Moran_I	marker_gene	0.18917081951366943	24	median
1	spatial_structure	Moran_I	niche_indicator	0.5971722075581293	3	mean
1	spatial_structure	Moran_I	phenotype_indicator	0.25038202008592336	6	mean
2	spatial_structure	Moran_I	marker_gene	0.15886623963172114	24	median
2	spatial_structure	Moran_I	niche_indicator	0.5831292351529304	3	mean
2	spatial_structure	Moran_I	phenotype_indicator	0.24353398514539107	6	mean
3	spatial_structure	Moran_I	marker_gene	0.1710423186933333	24	median
3	spatial_structure	Moran_I	niche_indicator	0.599082644180669	3	mean
3	spatial_structure	Moran_I	phenotype_indicator	0.2501126719784175	6	mean
4	spatial_structure	Moran_I	marker_gene	0.1584676688956927	24	median
4	spatial_structure	Moran_I	niche_indicator	0.596362627606844	3	mean
4	spatial_structure	Moran_I	phenotype_indicator	0.2501596091778463	6	mean
5	spatial_structure	Moran_I	marker_gene	0.17964939491613588	24	median
5	spatial_structure	Moran_I	niche_indicator	0.6114968798823784	3	mean
5	spatial_structure	Moran_I	phenotype_indicator	0.25444221187827315	6	mean
6	spatial_structure	Moran_I	marker_gene	0.15907638835990726	24	median
6	spatial_structure	Moran_I	niche_indicator	0.5960232068150699	3	mean
6	spatial_structure	Moran_I	phenotype_indicator	0.2490213866651936	6	mean
7	spatial_structure	Moran_I	marker_gene	0.15689736693253575	24	median
7	spatial_structure	Moran_I	niche_indicator	0.5874421679922767	3	mean
7	spatial_structure	Moran_I	phenotype_indicator	0.24596070553703744	6	mean
8	spatial_structure	Moran_I	marker_gene	0.17031469187792092	24	median
8	spatial_structure	Moran_I	niche_indicator	0.5851746509737108	3	mean
8	spatial_structure	Moran_I	phenotype_indicator	0.24453232622014784	6	mean
9	spatial_structure	Moran_I	marker_gene	0.15688810327900132	24	median
9	spatial_structure	Moran_I	niche_indicator	0.5744464567492117	3	mean
9	spatial_structure	Moran_I	phenotype_indicator	0.24127559786468386	6	mean
0	domain_recovery	ARI	expression_only	0.23375618809688112	42524	none
0	domain_recovery	NMI	expression_only	0.3202986114197669	42524	none
0	domain_recovery	ARI	expression_plus_3d	0.8328631575366595	42524	none
0	domain_recovery	NMI	expression_plus_3d	0.7606857046318644	42524	none
1	domain_recovery	ARI	expression_only	0.41607125827836733	42515	none
1	domain_recovery	NMI	expression_only	0.5693636191243838	42515	none
1	domain_recovery	ARI	expression_plus_3d	0.823935061886519	42515	none
1	domain_recovery	NMI	expression_plus_3d	0.7509289552267122	42515	none
2	domain_recovery	ARI	expression_only	0.1415735856875123	42631	none
2	domain_recovery	NMI	expression_only	0.2540200363428447	42631	none
2	domain_recovery	ARI	expression_plus_3d	0.8024350596745977	42631	none
2	domain_recovery	NMI	expression_plus_3d	0.7256190497214418	42631	none
3	domain_recovery	ARI	expression_only	0.15567282386887776	42511	none
3	domain_recovery	NMI	expression_only	0.27240956176962067	42511	none
3	domain_recovery	ARI	expression_plus_3d	0.798083039425	42511	none
3	domain_recovery	NMI	expression_plus_3d	0.7184608397768397	42511	none
4	domain_recovery	ARI	expression_only	0.20375483914274736	42498	none
4	domain_recovery	NMI	expression_only	0.364441335073088	42498	none
4	domain_recovery	ARI	expression_plus_3d	0.8109341015976004	42498	none
4	domain_recovery	NMI	expression_plus_3d	0.7361669521596316	42498	none
5	domain_recovery	ARI	expression_only	0.5910366134676243	42481	none
5	domain_recovery	NMI	expression_only	0.6488487864442737	42481	none
5	domain_recovery	ARI	expression_plus_3d	0.8305693738274579	42481	none
5	domain_recovery	NMI	expression_plus_3d	0.7593265027250974	42481	none
6	domain_recovery	ARI	expression_only	0.20444115063849103	42567	none
6	domain_recovery	NMI	expression_only	0.36149241070136146	42567	none
6	domain_recovery	ARI	expression_plus_3d	0.7927557788793596	42567	none
6	domain_recovery	NMI	expression_plus_3d	0.7171902071836495	42567	none
7	domain_recovery	ARI	expression_only	0.5901251255043658	42466	none
7	domain_recovery	NMI	expression_only	0.6487115287156431	42466	none
7	domain_recovery	ARI	expression_plus_3d	0.7990780510262565	42466	none
7	domain_recovery	NMI	expression_plus_3d	0.7237367148070254	42466	none
8	domain_recovery	ARI	expression_only	0.4155881934365364	42538	none
8	domain_recovery	NMI	expression_only	0.4696152302067221	42538	none
8	domain_recovery	ARI	expression_plus_3d	0.8137479856152307	42538	none
8	domain_recovery	NMI	expression_plus_3d	0.7380390716437579	42538	none
9	domain_recovery	ARI	expression_only	0.17809596495736257	42672	none
9	domain_recovery	NMI	expression_only	0.3562293636174807	42672	none
9	domain_recovery	ARI	expression_plus_3d	0.8118560069229039	42672	none
9	domain_recovery	NMI	expression_plus_3d	0.7335386905824258	42672	none
