"gene","cell_type","Z_score","p_val"
"ADGRE5","B_Cells",0.0405531218160658,0.967652156758456
"ANKRD28","B_Cells",0.00309226124354854,0.997532736427833
"BASP1","B_Cells",0.0966180683129993,0.923029707187764
"C2orf42","B_Cells",0.0380924702501586,0.96961395482458
"CCPG1","B_Cells",0.00288421513060679,0.997698732467846
"CLDN4","B_Cells",0.00304645786857086,0.997569282061409
"CXCR4","B_Cells",0.0240827054506137,0.98078663837356
"CYTIP","B_Cells",0.0823731094054262,0.934350018949583
"DUSP5","B_Cells",1.57780714322525,0.114609922295634
"ERN1","B_Cells",2.35904502154721,0.0183220327701708
"ESR1","B_Cells",0.00307291679138655,0.997548170994217
"FAM107B","B_Cells",0.031216023419945,0.975097261300505
"FAM49A","B_Cells",0.0348713104243006,0.972182357658995
"GLIPR1","B_Cells",0.00087817423984494,0.999299318422393
"HDC","B_Cells",0.00310041328909365,0.997526232067733
"ITGAM","B_Cells",0.00306182932455328,0.997557017471204
"ITM2C","B_Cells",0.0452085799400127,0.963941055441057
"KARS","B_Cells",0.00403623473688446,0.996779559363802
"LDHB","B_Cells",0.00218527567478033,0.998256403665732
"LGALSL","B_Cells",0.0374058142544834,0.970161436812068
"LPXN","B_Cells",0.00193097224806136,0.998459308013384
"MAP3K8","B_Cells",0.00305537192046912,0.997562169710126
"MDM2","B_Cells",0.0473435777555831,0.962239396975248
"MRC1","B_Cells",0.00289336337438275,0.997691433255836
"MZB1","B_Cells",0.0464551609671374,0.962947471839346
"NPM3","B_Cells",0.00308753910543757,0.997536504130939
"OCIAD2","B_Cells",0.0392810932362452,0.968666280393092
"PDE4A","B_Cells",0.0103684978886799,0.991727283843595
"PELI1","B_Cells",0.00317690954134402,0.997465197189752
"PRDM1","B_Cells",0.0364676223514013,0.970909495149191
"RAB30","B_Cells",0.0418582998349896,0.96661165915287
"RUNX1","B_Cells",0.043600128123428,0.965223149568563
"SEC11C","B_Cells",0.0467734602051313,0.962693781563516
"SEC24A","B_Cells",0.0367694079950989,0.970668866429828
"SELL","B_Cells",0.0400519332512876,0.968051722734102
"SLAMF7","B_Cells",0.0561768370250105,0.955200933393465
"SLC25A37","B_Cells",0.0334302823631367,0.973331461319376
"SMAP2","B_Cells",0.0451893120400254,0.963956413305327
"SQLE","B_Cells",0.00307440113214169,0.99754698666724
"TENT5C","B_Cells",0.0231150225937364,0.981558522591156
"THAP2","B_Cells",0.00304958538205509,0.997566786678278
"TIFA","B_Cells",0.00294171255851265,0.997652856352479
"TOMM7","B_Cells",0.0496155108761728,0.96042878596371
"TPD52","B_Cells",0.0470044972735847,0.962509643186471
"TRAPPC3","B_Cells",0.00303773781640867,0.997576239624204
"TRIB1","B_Cells",0.00351968322440954,0.997191704894601
"TUBA4A","B_Cells",0.00304666465275747,0.997569117072264
"TUBB2B","B_Cells",0.0391396610802398,0.968779040211851
"VOPP1","B_Cells",0.0432771911926783,0.965480572975679
"WARS","B_Cells",0.0501717042091868,0.959985559916929
"ACTG2","CD4+_T_Cells",0.0646065100464923,0.948487301273997
"ADGRE5","CD4+_T_Cells",0.873288620694067,0.382505781386607
"ANKRD28","CD4+_T_Cells",0.00513636338574633,0.99590179297582
"ANKRD29","CD4+_T_Cells",0.000197173121423102,0.999842678611631
"APOBEC3B","CD4+_T_Cells",0.0432463804157862,0.965505133424661
"BACE2","CD4+_T_Cells",0.00509836686224641,0.995932109418326
"CD247","CD4+_T_Cells",0.228287997512278,0.819422354824081
"CD3D","CD4+_T_Cells",0.152090037223873,0.879115921939421
"CD3E","CD4+_T_Cells",0.873048331639391,0.382636734539275
"CD3G","CD4+_T_Cells",0.580986911680588,0.561249274697395
"CD69","CD4+_T_Cells",0.100700675486732,0.919788075140407
"CTTN","CD4+_T_Cells",0.080762653333806,0.935630709331695
"CXCR4","CD4+_T_Cells",1.03117958006023,0.30245661459764
"CYTIP","CD4+_T_Cells",0.0676171239901285,0.946090423624137
"DSC2","CD4+_T_Cells",0.0665180685261357,0.946965372963525
"EGFL7","CD4+_T_Cells",0.00526955174476893,0.995795525478937
"FAM107B","CD4+_T_Cells",0.00523912446029278,0.995819802604322
"FBLIM1","CD4+_T_Cells",0.0659948882346699,0.947381895181955
"GLIPR1","CD4+_T_Cells",0.201780118149314,0.84008862526289
