genes,observed,p.value
ANGPT2,0.0422679960258753,0.000975609756097561
FASN,0.0324957850390477,0.000975609756097561
APOC1,0.0299991749570196,0.000975609756097561
LUM,0.0256646777988434,0.000975609756097561
MZB1,0.0256535798552493,0.000975609756097561
AVPR1A,0.0256170131656873,0.000975609756097561
APOBEC3B,0.0223353167614005,0.000975609756097561
ACTA2,0.0210902948153896,0.000975609756097561
PDGFRB,0.0201719617269044,0.000975609756097561
KRT7,0.0195401197203644,0.000975609756097561
CD68,0.0194533350703912,0.000975609756097561
SEC11C,0.0192823084802837,0.000975609756097561
GATA3,0.019170643209192,0.000975609756097561
TYROBP,0.0178579726896118,0.000975609756097561
FCER1G,0.0173833947282572,0.000975609756097561
KLRB1,0.0237769392449652,0.00195121951219512
ANKRD30A,0.0205828519661826,0.00195121951219512
HDC,-0.0192488213291377,0.00195121951219512
MMP2,0.0178045670919665,0.00195121951219512
CTTN,0.0157261556899294,0.00195121951219512
CXCR4,0.0151971842816855,0.00195121951219512
AIF1,0.016927611629481,0.00390243902439024
CD3D,0.0154267076414705,0.00390243902439024
FBLN1,0.0183253630417191,0.00487804878048781
CD3E,0.0161129911450144,0.00487804878048781
ZNF562,-0.0150472200749429,0.00487804878048781
CDH1,0.0147225840866037,0.00487804878048781
POSTN,0.0153687381516537,0.00585365853658537
GLIPR1,0.0151470929720443,0.00585365853658537
CCL5,0.0145968975302379,0.00585365853658537
PTGDS,0.0143357659623363,0.00585365853658537
SCD,0.0140159555777964,0.00682926829268293
HOOK2,-0.0138610808938008,0.00780487804878049
SERPINB9,0.0130968754606264,0.00780487804878049
PTRHD1,-0.0125746683250322,0.00878048780487805
TOMM7,-0.0125111038216944,0.00975609756097561
EPCAM,0.0138245578999678,0.0107317073170732
PRDM1,0.0132186417094828,0.0107317073170732
ZEB2,0.01271356653224,0.0107317073170732
KARS,0.0123730471614074,0.0117073170731707
HOXD8,0.0119732306032601,0.0117073170731707
RORC,0.0139314969577845,0.0136585365853659
ERBB2,0.0124933072006237,0.0136585365853659
MYLK,0.0145435643548071,0.0165853658536585
CCL8,0.0120983150721492,0.0185365853658537
S100A14,0.0120085311225867,0.0185365853658537
SLC5A6,0.0113265961635432,0.0204878048780488
ITGAX,0.011096205924637,0.0204878048780488
TCIM,0.0108500044265964,0.0214634146341463
CCDC80,0.0126940315270973,0.0224390243902439
CRISPLD2,0.0139075975436084,0.0234146341463415
CCND1,0.0103962691512616,0.024390243902439
ERN1,0.0111108882052731,0.0273170731707317
LYZ,0.0109704093447579,0.0273170731707317
BTNL9,-0.010578737711908,0.0282926829268293
USP53,-0.0115009058180172,0.031219512195122
NPM3,-0.0101897751305277,0.0341463414634146
VOPP1,-0.0101677917055394,0.0370731707317073
DUSP5,-0.00989945459618822,0.0390243902439024
SLC25A37,-0.0102011351873114,0.0409756097560976
CAVIN2,0.00930437619729811,0.0409756097560976
C6orf132,0.0104920150651428,0.0429268292682927
FOXA1,0.00991141860890524,0.0439024390243902
TRAF4,-0.00954596942577453,0.0458536585365854
CXCL12,0.0108556142852084,0.0468292682926829
CXCL16,-0.00956575854800016,0.0497560975609756
RAB30,0.00990425230148262,0.0507317073170732
NOSTRIN,0.00984199210219123,0.0507317073170732
THAP2,0.00945670748596947,0.0507317073170732
MKI67,0.00918170945062275,0.0507317073170732
