GeneNames,P_values
ABCC11,0.0515273068379275
ACTA2,0.027387232006733
ACTG2,0.247413783416902
ADAM9,0.194223156168367
ADGRE5,0.812009647305557
AIF1,0.241773944086065
AKR1C1,0.949523790918779
ANGPT2,0.804702507433317
ANKRD28,0.741290552906933
ANKRD29,0.906006628244072
ANKRD30A,0.000964467978261552
APOBEC3B,0.968553694292712
APOC1,0.162919659382148
AQP1,0.0229395247847458
AR,0.207942656565925
AVPR1A,0.404510172355816
BACE2,0.592969123514929
BASP1,0.272023713973563
BTNL9,0.279583259346386
C1QA,0.591697671902796
C1QC,0.36762305913246
C2orf42,0.917335905278127
C6orf132,0.768291190757075
CAV1,0.00952795384995053
CAVIN2,0.504910862519657
CCDC6,0.1200847929578
CCDC80,0.0628989093132022
CCL5,0.51332736759479
CCL8,0.837985144656659
CCND1,0.00209680639570786
CCPG1,0.556371397932565
CD14,0.216104609399509
CD163,0.232676718158128
CD247,0.908167810119497
CD3D,0.940190162696816
CD3E,0.486785633058124
CD3G,0.899455566720414
CD4,0.204256509382343
CD68,0.0752391919283881
CD69,0.843643121878505
CD83,0.58955052053656
CD86,0.604890870630692
CD8A,0.211752113206793
CD8B,0.910032448934196
CD9,0.0373476034062097
CD93,0.0263476454912613
CDC42EP1,0.899265493817113
CDH1,0.030836479445317
CEACAM6,0.742889995290341
CENPF,0.0119202444475889
CLDN4,0.58230320374957
CLEC14A,0.0321145649957156
CRISPLD2,0.486736328098598
CTLA4,0.865845618252043
CTTN,0.0235358487774463
CXCL12,0.0422091903284757
CXCL16,0.60245885022666
CXCR4,0.175061036120856
CYTIP,0.784364373005117
DAPK3,0.874974004001704
DMKN,0.825283121446648
DNTTIP1,0.775684770019611
DPT,0.728638212695233
DSC2,0.739537426761807
DSP,0.106249615819059
DST,0.0951980026662659
DUSP2,0.939122924269349
DUSP5,0.681497059678295
EDNRB,0.609107762202139
EGFL7,0.677702769554361
EGFR,0.642197487223612
EIF4EBP1,0.62775564286011
ELF3,0.2351975991305
ENAH,0.130421818104144
EPCAM,0.000249254298774648
ERBB2,5.68433746571673e-05
ERN1,0.729942500874069
ESM1,0.390592759249622
ESR1,0.94979605690543
FAM107B,0.444948494174776
FAM49A,0.940422967730768
FASN,0.00574373084472835
FBLIM1,0.650756768720359
FBLN1,0.258282265268464
FCER1G,0.0512993406237293
FCGR3A,0.508599770873752
FGL2,0.265896877180807
FLNB,0.109240407268474
FOXA1,0.000635569795448654
FSTL3,0.955019639255776
GATA3,0.001911623289512
GJB2,0.412690799911177
GLIPR1,0.461476059757906
GPR183,0.366639974081173
GZMA,0.731043395640165
HAVCR2,0.667196167402843
HDC,0.523260588795678
HMGA1,0.258554256691718
HOOK2,0.810936911429677
HOXD8,0.283026793071539
HOXD9,0.326992307451033
HPX,0.981576430146214
IGF1,0.246062634069824
IGSF6,0.323522392904911
IL2RG,0.782829145902096
IL3RA,0.743875269112648
IL7R,0.380087431314935
ITGAM,0.944622673142044
ITGAX,0.529546318053682
ITM2C,0.491730054500224
JUP,0.471490745998091
KARS,0.530507190788861
KDR,0.0947511923196884
KLF5,0.326612719708986
KLRB1,0.666745569754733
KRT15,0.958159166170228
KRT7,0.000347128244989725
KRT8,0.00974604842939542
LAG3,0.914775926676913
LARS,0.225524052740259
LDHB,0.26099155027818
LGALSL,0.837028159747372
LPL,0.72583589341249
LPXN,0.838016852625797
LRRC15,0.816320409456578
LUM,0.000126844176453811
LYPD3,0.224347944969691
LYZ,0.0742539439536197
MAP3K8,0.793239333625457
MDM2,0.0348272292374076
MEDAG,0.777015822078902
MKI67,0.125604937151814
MLPH,0.00593389876786665
MMP1,0.724738918183198
MMP2,0.0348828377844465
MMRN2,0.320937088038042
MNDA,0.843128056258543
MRC1,0.544976738603735
MYLK,0.29636934086291
MYO5B,0.14781302524901
MZB1,0.873633642029838
NARS,0.0553847912246903
NOSTRIN,0.19202131094096
NPM3,0.958195671260613
OCIAD2,0.644149840696783
OXTR,0.929439654673964
PCLAF,0.0771921291320196
PCOLCE,0.9334394033686
PDE4A,0.879682556213273
PDGFRA,0.0962022510895285
PDGFRB,0.0579978021248074
PDK4,0.087849995054588
PECAM1,0.00646189191906199
PELI1,0.690558163172647
PIM1,0.820891566529093
POLR2J3,0.0185642018798895
POSTN,5.33421995724259e-05
PPARG,0.252869808060187
PRDM1,0.672698167419592
PTGDS,0.518751436650634
PTN,0.788555785368797
PTPRC,0.272306966409357
PTRHD1,0.624154730421132
QARS,0.266738012438886
RAB30,0.913258010524273
RAMP2,0.0973258263642612
RAPGEF3,0.800449081310996
RHOH,0.369566248326636
RORC,0.947957377834039
RTKN2,0.27977264155726
RUNX1,0.11471089689997
S100A14,0.179601273170934
S100A4,0.55338629117394
SCD,0.000846825344171132
SDC4,0.712458841040277
SEC11C,0.371445080674709
SEC24A,0.43503008513752
SELL,0.97296806426233
SERHL2,0.0511900999747963
SERPINA3,0.871842674769056
SERPINB9,0.689761082429615
SFRP4,0.734681067907198
SH3YL1,0.235609414880327
SLAMF1,0.949654296738357
SLAMF7,0.809073972674123
SLC25A37,0.764246582274322
SLC5A6,0.434242370866486
SMAP2,0.737103981905419
SMS,0.179718702384867
SNAI1,0.840770989662593
SOX17,0.831742059571658
SQLE,0.347225950041565
SRPK1,0.370849603576976
STC1,0.491394026283612
SVIL,0.432384012763874
TACSTD2,0.0296668882137898
TCF4,0.213413343597054
TCIM,0.00831018963738217
TENT5C,0.132983043207876
TFAP2A,0.405036490105668
THAP2,0.849466767767952
TIFA,0.850577360232411
TMEM147,0.205408781424792
TOMM7,0.033885974120765
TOP2A,0.011138695867586
TPD52,0.0756592147233159
TRAC,0.552058690279867
TRAF4,0.257998265943044
TRAPPC3,0.463923553468566
TRIB1,0.574145560584492
TUBA4A,0.186497683284728
TUBB2B,0.905572947671701
TYROBP,0.943473223755705
USP53,0.32969430980439
VOPP1,0.325011663904418
VWF,0.0105755394834126
WARS,0.513929821060076
ZEB1,0.432724199963692
ZEB2,0.082240645910693
ZNF562,0.360089760068768
