,combined_pvalue,adjusted_pvalue
ABCC11,1.11022302462516e-16,5.40343542621315e-15
ACTA2,2.22044604925031e-16,7.88609494636514e-15
ACTG2,0.518380227587785,1
ADAM9,0.203614725935781,1
ADGRE5,0.00195538025013486,0.0244717724350338
AIF1,2.69784194983913e-14,8.44093805509155e-13
AKR1C1,0.054064032346701,0.514816962678869
ANGPT2,0.0215743833933195,0.225004574255687
ANKRD28,0.229153705573429,1
ANKRD29,0.0108146155370004,0.120434961346135
ANKRD30A,5.55e-17,4.29010144627801e-15
APOBEC3B,0.807645099807299,1
APOC1,2.77221490208035e-09,6.17445148064567e-08
AQP1,1.83069371775257e-05,0.000273373566801353
AR,2.34264907295056e-06,3.70896422428699e-05
AVPR1A,2.45606311621849e-07,4.24667896537846e-06
BACE2,0.00494835751086642,0.0591142091956049
BASP1,0.000100547154121999,0.00139081599855946
BTNL9,0.0124344683673626,0.135040908696426
C1QA,0.000183803472593613,0.0025159730182585
C1QC,9.62194061093768e-08,1.73206151456681e-06
C2orf42,0.87839677399051,1
C6orf132,0.277595337442959,1
CAV1,2.22044604925031e-16,7.88609494636514e-15
CAVIN2,8.66390962626085e-05,0.00121118242420307
CCDC6,0.0415181827244862,0.413321412476604
CCDC80,5.55e-17,4.29010144627801e-15
CCL5,0.233635869049371,1
CCL8,0.0497754309915347,0.484512248816844
CCND1,7.73825448163734e-13,2.16355853799799e-11
CCPG1,0.080301137453131,0.732795350442017
CD14,4.85384843429415e-10,1.1811796369558e-08
CD163,2.22044604925031e-16,7.88609494636514e-15
CD247,0.571978976781469,1
CD3D,0.156862999347293,1
CD3E,0.0794648547620596,0.730234851865524
CD3G,0.797025772929937,1
CD4,4.33798352794668e-09,9.04838037814849e-08
CD68,1.11022302462516e-16,5.40343542621315e-15
CD69,0.0934869772027427,0.824495613253036
CD83,3.66826041098278e-07,6.1800082699512e-06
CD86,3.78330700101515e-12,9.94317492702954e-11
CD8A,0.0340057529562526,0.343741955505152
CD8B,0.186894869906654,1
CD9,1.11022302462516e-16,5.40343542621315e-15
CD93,1.28394406218035e-09,3.01287820874196e-08
CDC42EP1,0.0914597410242337,0.817591057566062
CDH1,2.22044604925031e-16,7.88609494636514e-15
CEACAM6,0.0521667870670182,0.501571302480899
CENPF,1.30231504558154e-06,2.13919104120501e-05
CLDN4,0.365837853849306,1
CLEC14A,8.3633100445013e-13,2.28960444744358e-11
CRISPLD2,1.76660942541318e-08,3.46488831697052e-07
CTLA4,0.00421147092428942,0.0512428824750219
CTTN,2.38558841569869e-08,4.61009743802389e-07
CXCL12,5.55e-17,4.29010144627801e-15
