,combined_pvalue,adjusted_pvalue
ABCC11,5.55e-17,1.19560204240535e-15
ACTA2,5.55e-17,1.19560204240535e-15
ACTG2,0.0158833097527058,0.112215167336046
ADAM9,3.44583650502273e-09,3.35416481755362e-08
ADGRE5,1.11022302462516e-16,1.77917995741165e-15
AIF1,1.11022302462516e-16,1.77917995741165e-15
AKR1C1,0.039585905090071,0.265404332372251
ANGPT2,1.06796793630792e-11,1.10503998578795e-10
ANKRD28,0.194055091336387,1
ANKRD29,0.00383369222504659,0.0286238519151691
ANKRD30A,5.55e-17,1.19560204240535e-15
APOBEC3B,0.189045767736458,1
APOC1,2.22044604925031e-16,2.86064228446579e-15
AQP1,5.55e-17,1.19560204240535e-15
AR,1.0804690475652e-12,1.18319025527789e-11
AVPR1A,2.22044604925031e-16,2.86064228446579e-15
BACE2,3.84756049525148e-05,0.000328313118486544
BASP1,1.2525536163821e-12,1.36029923877727e-11
BTNL9,5.55e-17,1.19560204240535e-15
C1QA,8.88178419700125e-16,1.09078696454396e-14
C1QC,2.22044604925031e-16,2.86064228446579e-15
C2orf42,0.900318491977988,1
C6orf132,0.030391448348914,0.206927203545229
CAV1,5.55e-17,1.19560204240535e-15
CAVIN2,1.11022302462516e-16,1.77917995741165e-15
CCDC6,1.70053933046255e-07,1.58486059802173e-06
CCDC80,5.55e-17,1.19560204240535e-15
CCL5,1.11022302462516e-16,1.77917995741165e-15
CCL8,2.22044604925031e-16,2.86064228446579e-15
CCND1,5.55e-17,1.19560204240535e-15
CCPG1,2.28157889037295e-06,2.09663558565575e-05
CD14,1.11022302462516e-16,1.77917995741165e-15
CD163,1.11022302462516e-16,1.77917995741165e-15
CD247,3.48165940522449e-13,3.91042465306256e-12
CD3D,1.11022302462516e-16,1.77917995741165e-15
CD3E,1.11022302462516e-16,1.77917995741165e-15
CD3G,2.22044604925031e-16,2.86064228446579e-15
CD4,5.55e-17,1.19560204240535e-15
CD68,5.55e-17,1.19560204240535e-15
CD69,1.11022302462516e-16,1.77917995741165e-15
CD83,1.11022302462516e-16,1.77917995741165e-15
CD86,2.6318003332193e-10,2.62000733100743e-09
CD8A,2.22044604925031e-16,2.86064228446579e-15
CD8B,0.0174647755578388,0.122400559609985
CD9,5.55e-17,1.19560204240535e-15
CD93,5.55e-17,1.19560204240535e-15
CDC42EP1,0.205833135176905,1
CDH1,1.11022302462516e-16,1.77917995741165e-15
CEACAM6,2.40440105603312e-07,2.22506173854386e-06
CENPF,3.77475828372553e-15,4.50941247387607e-14
CLDN4,0.00288479508862094,0.0219125220947188
CLEC14A,5.55e-17,1.19560204240535e-15
CRISPLD2,2.22044604925031e-16,2.86064228446579e-15
CTLA4,1.06512576536488e-11,1.10503998578795e-10
CTTN,1.11022302462516e-16,1.77917995741165e-15
CXCL12,5.55e-17,1.19560204240535e-15
CXCL16,0.0329008980232717,0.221715798871722
CXCR4,5.55e-17,1.19560204240535e-15
CYTIP,5.55e-17,1.19560204240535e-15
DAPK3,0.796991226214036,1
DMKN,0.027160998632928,0.186868399773327
DNTTIP1,0.514594248230141,1
DPT,3.5083047578155e-14,4.04404482951321e-13
DSC2,4.52503275771843e-06,4.10088155118776e-05
DSP,8.88178419700125e-16,1.09078696454396e-14
DST,5.05114184261579e-05,0.000428234217627601
DUSP2,0.0985992771831814,0.654383049228689
DUSP5,0.0176965068017012,0.123040827514066
EDNRB,2.22044604925031e-16,2.86064228446579e-15
EGFL7,7.05905156550557e-09,6.82073138074922e-08
EGFR,1.07996056541992e-10,1.08332833397608e-09
EIF4EBP1,0.0150907512255748,0.107192063519885
ELF3,2.22044604925031e-16,2.86064228446579e-15
ENAH,0.000221886115940872,0.00175648942770196
EPCAM,5.55e-17,1.19560204240535e-15
ERBB2,5.55e-17,1.19560204240535e-15
ERN1,3.4460156950189e-10,3.40478043203488e-09
ESM1,1.11022302462516e-16,1.77917995741165e-15
ESR1,0.718513463362912,1
FAM107B,0.00803531478738451,0.0576999325595604
FAM49A,2.11424512676084e-05,0.000182782768247688
FASN,5.55e-17,1.19560204240535e-15
FBLIM1,2.22044604925031e-16,2.86064228446579e-15
FBLN1,5.55e-17,1.19560204240535e-15
FCER1G,5.55e-17,1.19560204240535e-15
FCGR3A,5.10702591327572e-15,6.04600612554661e-14
FGL2,1.11022302462516e-16,1.77917995741165e-15
