genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
ABCC11,0.9999546021275006,4,3,0.11848079199457186,4.5399929762484854e-05,-9880.324742701745,-7.682660451255935,60.79993403997369,SE,5763,7.8608973926124595,2762224275.7170568,0.005075216293334961,19795.286339209237,-9880.784017313003,0.45927461125756963,0.4979631797928189,0.994744633287668
ACTA2,0.9999546021275006,4,4,0.11848079199457186,4.5399929762484854e-05,-7305.749009036769,-1.3034076860774382,2.4369982935998067,SE,5763,25.93723647562448,9114031218.008905,0.004240989685058594,14646.134871879285,-7305.921961793331,0.1729527565621538,0.677500822182783,0.994744633287668
ACTG2,0.9999546021275005,4,5,0.11848079199457186,4.5399929762484854e-05,-9577.274884741068,-1.8893927107408142,5.193532650682756,SE,5763,63.45208714479898,22296296046.381165,0.004193782806396484,19189.186623287882,-9577.436965680274,0.16208093920613464,0.6872478286184553,0.994744633287668
ADAM9,0.9999546021275005,4,11,0.11848079199457186,4.5399929762484854e-05,-5897.4357810440615,-2.3634463830282018,6.036403822040495,SE,5763,67.6291659822751,23764071033.150455,0.005656003952026367,11829.50841589387,-5897.526205102346,0.09042405828404299,0.7636387440108483,0.994744633287668
ADGRE5,0.9999546021275005,4,18,0.11848079199457186,4.5399929762484854e-05,-6225.637393727709,-2.2348802314442864,5.500189354321747,SE,5763,43.83059427840554,15401540751.370762,0.004879951477050781,12485.911641261166,-6225.752695599743,0.11530187203334208,0.7341869311701636,0.994744633287668
AIF1,0.9999546021275005,4,20,0.11848079199457186,4.5399929762484854e-05,-8340.51327345214,-2.3052947552218823,6.369997045253316,SE,5763,71.75257791501387,25212988118.63139,0.003921985626220703,16715.663400710026,-8340.622634059015,0.1093606068752706,0.7408732531461675,0.994744633287668
AKR1C1,0.9999546021275006,4,26,0.11848079199457186,4.5399929762484854e-05,-10950.465536742231,-0.7627918774865112,3.1994367086454285,SE,5763,9238.531843452925,3246308360913.0747,0.005033969879150391,21935.56792729021,-10950.492868382784,0.027331640552802128,0.8686898845277287,0.994744633287668
ANGPT2,0.9999546021275005,4,28,0.11848079199457186,4.5399929762484854e-05,-4224.168301308219,-2.446434994196438,6.235708082128913,SE,5763,65.5749515286664,23042244917.48921,0.004842042922973633,8482.973456422185,-4224.251328748398,0.0830274401787392,0.7732358815698855,0.994744633287668
ANKRD28,2.0611534457929353e-09,4,31,0.11848079199457186,485165195.4097903,-8815.370455189433,-2.1396209800938646,1.200792632753747e-08,SE,5763,14.985383790219409,2.554011077809435e+18,0.0045070648193359375,17665.377764184614,-8815.370498574095,4.3384661694290116e-05,0.994744609050248,0.994744633287668
ANKRD29,0.9999546021275005,4,45,0.11848079199457186,4.5399929762484854e-05,-9015.722963115211,-1.4742002745335419,3.509860699240743,SE,5763,82.7212930111132,29067261950.0492,0.0045299530029296875,18066.08278003617,-9015.815416445135,0.09245332992395561,0.761081120033001,0.994744633287668
ANKRD30A,0.9999546021275006,4,47,0.11848079199457186,4.5399929762484854e-05,-10126.381540140103,-9.549688746282875,93.11833148127694,SE,5763,9.91050222444572,3482430626.131624,0.004069089889526367,20287.399934085952,-10126.743185610367,0.36164547026419314,0.5475938006637624,0.994744633287668
APOBEC3B,0.9999546021275005,4,49,0.11848079199457186,4.5399929762484854e-05,-10519.671093365574,-6.583156114495588,45.57092573389636,SE,5763,74.16016342785225,26058984551.114468,0.0040378570556640625,21073.979040536895,-10519.862513041899,0.19141967632458545,0.6617376506534876,0.994744633287668
APOC1,0.9999546021275006,4,56,0.11848079199457186,4.5399929762484854e-05,-9193.139998259943,-4.368842410866177,20.49999159005742,SE,5763,407.5508896422412,143208453785.16708,0.004163980484008789,18420.916850325633,-9193.193615221357,0.05361696141335415,0.8168849314311548,0.994744633287668
AQP1,2.061153445792935e-09,4,59,0.11848079199457186,485165195.4097903,-7585.5443016211575,-3.08419124308305,2.12846565280055e-08,SE,5763,6.981097160019072,1.1898126689013972e+18,0.004379987716674805,15205.725457048062,-7585.544345005563,4.3384405216784216e-05,0.994744624584218,0.994744633287668
AR,2.061153445792935e-09,4,60,0.11848079199457186,485165195.4097903,-8140.217874245944,-4.480390008479443,4.341014884910434e-08,SE,5763,20.797879247975754,3.5446548942538153e+18,0.004650115966796875,16315.072602297634,-8140.217917630718,4.3384774471633136e-05,0.9947446022197226,0.994744633287668
AVPR1A,2.061153445792935e-09,4,63,0.11848079199457186,485165195.4097903,-9349.94659744086,-4.449094729420991,4.389569013202001e-08,SE,5763,14.642872045509685,2.4956356099192207e+18,0.0041921138763427734,18734.530048687466,-9349.946640825521,4.3384661694290116e-05,0.994744609050248,0.994744633287668
BACE2,0.9999546021275006,4,66,0.11848079199457186,4.5399929762484854e-05,-6588.428959670083,-2.23413370692963,5.565009477187589,SE,5763,58.5077513233313,20558916234.56867,0.004001140594482422,13211.494773145912,-6588.529794340542,0.10083467045933503,0.7508302868016913,0.994744633287668
BASP1,0.9999546021275006,4,67,0.11848079199457186,4.5399929762484854e-05,-9326.729107865394,-3.6038618613372027,14.471540588269376,SE,5763,15.68635647460348,5511995957.665248,0.014051198959350586,18688.095069536535,-9327.019552600847,0.2904447354521835,0.5899356742371382,0.994744633287668
BTNL9,0.9999546021275005,4,69,0.11848079199457186,4.5399929762484854e-05,-5537.916814281727,-2.4972265536625815,6.633176186467369,SE,5763,1348.818513239175,473958513223.5952,0.00456690788269043,11110.4704823692,-5537.931026475348,0.014212193620551261,0.9051050982254993,0.994744633287668
C1QA,2.061153445792935e-09,4,71,0.11848079199457186,485165195.4097903,-9408.251613848748,-4.644614561309848,4.7623711812794626e-08,SE,5763,432.93710356430773,7.378697629483821e+19,0.004240989685058594,18851.140081503243,-9408.251657233879,4.338513099355623e-05,0.994744580626507,0.994744633287668
C1QC,0.9999546021275006,4,76,0.11848079199457186,4.5399929762484854e-05,-9426.987374090275,-2.6477597068539267,8.550057347985847,SE,5763,10.331786998493289,3630465000.8021016,0.004673004150390625,18888.611601986297,-9427.343809292852,0.356435202576904,0.5504927293236073,0.994744633287668
C2orf42,0.9999546021275006,4,77,0.11848079199457186,4.5399929762484854e-05,-5233.959600799473,-2.126226559393439,4.878664523276825,SE,5763,65.1584364689224,22895886562.693127,0.0046122074127197266,10502.556055404693,-5234.0445738467515,0.08497304727825394,0.7706678981227105,0.994744633287668
C6orf132,0.9999546021275005,4,84,0.11848079199457186,4.5399929762484854e-05,-10333.959256784687,-1.9307628255217866,5.83964124952488,SE,5763,51.2251122408183,17999884935.605404,0.003615856170654297,20702.55536737512,-10334.130891105426,0.17163432073903095,0.6786634009646371,0.994744633287668
CAV1,2.061153445792935e-09,4,95,0.11848079199457186,485165195.4097903,-7312.041607520572,-1.8304578149809683,8.432540642210437e-09,SE,5763,123.14655390273643,2.0988295479420645e+19,0.0031659603118896484,14658.720068846891,-7312.041650905618,4.3385045501054265e-05,0.9947445858044638,0.994744633287668
CAVIN2,0.5022305591655727,4,98,0.11848079199457186,0.9911173068150849,-9017.191542305805,-4.164068032921213,9.378560309792684,SE,5763,495.13571898877603,9274.567309976504,0.003159761428833008,18069.019938417357,-9017.234128352462,0.04258604665665189,0.8365066913075585,0.994744633287668
CCDC6,0.9999546021275006,4,103,0.11848079199457186,4.5399929762484854e-05,-8433.309300789235,-1.967976437370652,4.963888957974593,SE,5763,20.973535006017183,7369846551.558684,0.004178047180175781,16901.255455384216,-8433.585806066894,0.276505277659453,0.5990009840408458,0.994744633287668
CCDC80,0.9999546021275005,4,106,0.11848079199457186,4.5399929762484854e-05,-8521.255036679833,-0.11800075475368096,1.1406533708673514,SE,5763,2615.633459575234,919101964769.489,0.004775047302246094,17077.146927165413,-8521.273729898188,0.01869321835511073,0.8912496343335097,0.994744633287668
CCL5,0.500053129959882,4,113,0.11848079199457186,0.9997874191170322,-10173.340825311094,-7.5965156651986225,29.84955762275127,SE,5763,2069.6944280725074,38766.98652887087,0.005513906478881836,20381.318504427934,-10173.35280690136,0.01198159026534995,0.9128372890063274,0.994744633287668
CCL8,2.0611534457929345e-09,4,115,0.11848079199457186,485165195.4097903,-6133.295184117487,-2.8949916875191555,1.8288474361191783e-08,SE,5763,29.785514246832243,5.076448785670137e+18,0.0053789615631103516,12301.227222040721,-6133.295227502335,4.338484814070398e-05,0.9947445977578518,0.994744633287668
CCND1,0.9999546021275006,4,126,0.11848079199457186,4.5399929762484854e-05,-10242.186003514433,-8.594124490806475,75.86994811277997,SE,5763,12.361518761724277,4343688195.241521,0.005167245864868164,20519.008860834612,-10242.53519303512,0.34918952068801445,0.5545722816644445,0.994744633287668
CCPG1,0.9999546021275006,4,129,0.11848079199457186,4.5399929762484854e-05,-8982.853021269722,-7.454131270371988,56.85917893343091,SE,5763,75.77767748104888,26627359427.477283,0.00586390495300293,18000.34289634519,-8982.99905538699,0.14603411726784543,0.7023544785241962,0.994744633287668
CD14,0.9999546021275006,4,135,0.11848079199457186,4.5399929762484854e-05,-6683.266585520139,-2.153221585277377,5.229471189358201,SE,5763,966.285376640271,339540995297.6837,0.005491971969604492,13401.170024846026,-6683.272627815333,0.006042295193765312,0.9380410782776041,0.994744633287668
CD163,0.4969703710818205,4,141,0.11848079199457186,1.012192307861714,-8862.745642214131,-8.074335378342113,33.022888741638425,SE,5763,250.344199333227,4689.412301464531,0.008778095245361328,17760.12813823401,-8862.75529193211,0.009649717978390981,0.9217472963878967,0.994744633287668
CD247,0.9999546021275006,4,143,0.11848079199457186,4.5399929762484854e-05,-7044.351479188268,-2.5102656122839906,6.973206570477836,SE,5763,3.584511894510234,1259554129.3920345,0.00568699836730957,14123.339812182283,-7045.055001542852,0.7035223545835834,0.4016026571912644,0.994744633287668
CD3D,2.0611534457929345e-09,4,145,0.11848079199457186,485165195.4097903,-5876.069336963636,-2.843857410838868,1.759703027057696e-08,SE,5763,251.31949776068657,4.28332560804503e+19,0.003950834274291992,11786.775527733018,-5876.06938034873,4.338509461376816e-05,0.9947445828298922,0.994744633287668
CD3E,0.9999546021275006,4,153,0.11848079199457186,4.5399929762484854e-05,-9476.382331672297,-2.7024053245127417,8.868952531805558,SE,5763,2.52105207220385,885867209.0965905,0.0027489662170410156,18987.40151715034,-9477.149583326307,0.7672516540096694,0.38106862026620847,0.994744633287668
CD3G,0.9999546021275006,4,157,0.11848079199457186,4.5399929762484854e-05,-9504.423535777361,-3.027826014107662,10.748117899689879,SE,5763,5.279918720751402,1855299584.240671,0.003493070602416992,19043.48392536047,-9504.90998370302,0.4864479256593768,0.48551609661067485,0.994744633287668
CD4,0.9999546021275006,4,165,0.11848079199457186,4.5399929762484854e-05,-8090.919023567721,-1.6320435699857558,3.632680033220069,SE,5763,35.618589248672734,12515941498.197859,0.0037050247192382812,16216.474900941188,-8091.058533515155,0.13950994743481715,0.708768677611358,0.994744633287668
CD68,0.9999546021275005,4,167,0.11848079199457186,4.5399929762484854e-05,-10099.318230433408,-6.150137220156756,39.753885820694016,SE,5763,6.814964546096061,2394696122.7390337,0.003919124603271484,20233.273314672562,-10099.778169647634,0.4599392142263241,0.49765238285388624,0.994744633287668
CD69,2.061153445792935e-09,4,175,0.11848079199457186,485165195.4097903,-10302.342377384477,-6.698961833248113,9.680561350840831e-08,SE,5763,5.199469811993936,8.861637235634538e+17,0.0038051605224609375,20639.3216085747,-10302.342420768739,4.3384261516621336e-05,0.994744633287668,0.994744633287668
CD83,2.061153445792935e-09,4,176,0.11848079199457186,485165195.4097903,-10208.11116917048,-6.4081759079428,8.88111544994582e-08,SE,5763,492.5862156109455,8.395318191768258e+19,0.004002094268798828,20450.859192146705,-10208.111212555617,4.3385138269513845e-05,0.99474458018583,0.994744633287668
CD86,0.9999546021275006,4,182,0.11848079199457186,4.5399929762484854e-05,-10161.713017750139,-8.082358294362875,67.2833075170354,SE,5763,24.964139578985126,8772096736.9789,0.0027282238006591797,20358.062889306024,-10162.00382302368,0.2908052735419915,0.5897049536552115,0.994744633287668
