genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
ABCC11,0.9999546021261772,4,2,0.11360055399787518,4.5399929762484854e-05,-4914.276153708346,-7.044679704150092,51.401841348185286,SE,2873,262.5529137122934,92257913239.97034,0.002023935317993164,9860.40475565261,-4914.336435956198,0.060282247852228465,0.8060503911990238,0.5891642877653899
ACTA2,0.9999546021261772,4,3,0.11360055399787518,4.5399929762484854e-05,-4879.963010252667,-8.048213588880303,66.5005195252619,SE,2873,287.0153022879202,100853700241.52231,0.0016520023345947266,9791.778468741251,-4880.023957033365,0.060946780698031944,0.8050057247969731,0.5891642877653899
ACTG2,0.9999546021261773,4,40,0.11360055399787518,4.5399929762484854e-05,-3608.677861980027,-2.207907885044391,5.595128214118175,SE,2873,244.28117088428337,85837444159.32663,0.0021390914916992188,7249.208172195971,-3608.7330267233183,0.05516474329124321,0.8143082693415884,0.5909920416601754
ADAM9,0.9999546021261773,4,61,0.11360055399787518,4.5399929762484854e-05,-4482.686662518359,-3.710231487937868,15.08767561853703,SE,2873,188.08038560933215,66089169045.506516,0.00186920166015625,8997.225773272636,-4482.778241981426,0.09157946306640952,0.762178717053643,0.5774081189800327
ADGRE5,0.9999546021261773,4,66,0.11360055399787518,4.5399929762484854e-05,-2820.141080170347,-2.3904442915796653,6.129221929161705,SE,2873,371.87791530336983,130673394405.8032,0.0018520355224609375,5672.134608576611,-2820.182070352799,0.0409901824523331,0.8395568736060699,0.6045414031366843
AIF1,2.0611533857057006e-09,4,67,0.11360055399787518,485165195.4097903,-4612.606287050574,-3.257933678394702,2.487070309749611e-08,SE,2873,6.1724154628239765,1.0519862960279896e+18,0.0020170211791992188,9257.065022337065,-4612.606374086946,8.70363719513989e-05,0.9925563807326622,0.6562356236249008
AKR1C1,0.9999546021261772,4,76,0.11360055399787518,4.5399929762484854e-05,-4800.2564830031715,-1.8501505318255813,5.076738198526396,SE,2873,7210.678145300191,2533744948111.4136,0.0019118785858154297,9632.36541424226,-4800.287279919596,0.030796916424151277,0.8606942329851683,0.6167088100207209
ANGPT2,0.9999546021261773,4,78,0.11360055399787518,4.5399929762484854e-05,-3125.654232722316,-2.7799625043825023,8.24130951089686,SE,2873,130.2655833976927,45773747932.78004,0.0018968582153320312,6283.160913680549,-3125.7360019675793,0.08176924526333096,0.7749139494548358,0.5840142812660093
ANKRD28,2.0611533857057006e-09,4,89,0.11360055399787518,485165195.4097903,-3067.8529974192534,-2.817440387086046,1.7382632070963728e-08,SE,2873,170.44504736711625,2.9049543916153143e+19,0.0019071102142333984,6167.558443074424,-3067.8530844563593,8.703710591362324e-05,0.9925563493482811,0.6562356236249008
ANKRD29,0.9999546021261773,4,111,0.11360055399787518,4.5399929762484854e-05,-4845.149254040422,-6.032070593891208,38.08063459866478,SE,2873,76.40428807213503,26847541246.00685,0.001964569091796875,9722.150956316762,-4845.2824295160935,0.13317547567112342,0.715162053056772,0.5503892664217583
ANKRD30A,0.9999546021261773,4,121,0.11360055399787518,4.5399929762484854e-05,-4095.0386019000657,-2.9497267623095103,9.710741349622573,SE,2873,5.082084102557656,1785782787.8679657,0.00214385986328125,8221.92965203605,-4095.559809488826,0.5212075887602623,0.47032701313217384,0.40241883476549645
APOBEC3B,0.9999546021261773,4,168,0.11360055399787518,4.5399929762484854e-05,-3214.954763116227,-3.1929677508597383,10.740386480393573,SE,2873,155.3336205478888,54582352506.13636,0.0024650096893310547,6461.761974468371,-3215.0301439581117,0.07538084188490757,0.7836575917214657,0.587559581421905
APOC1,0.9999546021261773,4,176,0.11360055399787518,4.5399929762484854e-05,-5045.079952050498,-6.591852082055556,45.399783353597556,SE,2873,80.6325775735373,28333310954.0797,0.0019910335540771484,10122.012352336913,-5045.198255243134,0.11830319263572164,0.7308821502212686,0.5595270049540814
