gene	reference_detection_fraction	simulated_detection_fraction	moran_i_reference	moran_i_simulated	geary_c_reference	geary_c_simulated
ABCC11	0.7219488188976378	0.6714235990254089	0.17783792255308517	0.15430344723323924	0.8157834430145274	0.8459836231480972
ACTA2	0.640255905511811	0.6268708666898712	0.1056474145382096	0.03908302014129279	0.8838903308127216	0.9456671741888097
ACTG2	0.7293307086614174	0.7177166724678037	0.031403756887909064	0.017220830281717513	0.968940748242989	0.9858286679204249
ADAM9	0.7460629921259843	0.707274625826662	0.061533523142260085	0.024904363773468097	0.9369244869044013	0.9745215583938104
ADGRE5	0.09694881889763779	0.11103376261747303	0.09124600508812972	0.07285648844005563	0.882979316965215	0.8987577837448791
AIF1	0.21505905511811024	0.2206752523494605	0.11839873308703938	0.05733948424135919	0.850062806772577	0.931325437568726
AKR1C1	0.050688976377952756	0.04838148277062304	0.016935649096706078	0.019371711783182047	0.9608438128482267	0.9702002998549711
ANKRD28	0.2637795275590551	0.2610511660285416	0.0186138337328871	0.009000627764294876	0.9685939706025516	0.9923560360491345
ANKRD29	0.06791338582677166	0.06578489383919248	0.008464755842868796	0.019517477370322445	0.9837988083215402	0.954649506195081
ANKRD30A	0.8661417322834646	0.8485903237034459	0.2596227774823441	0.24695060141104888	0.7354872183505264	0.7451677316164264
APOBEC3B	0.07381889763779527	0.08318830490776193	0.010783443099609075	-0.002520012098208328	0.9710045271883755	0.9985369841298068
APOC1	0.1875	0.19700661329620606	0.10819303053879747	0.036881046834791514	0.8695386680269922	0.9495981666858848
AQP1	0.15403543307086615	0.1521058127392969	0.16462317276086966	0.1323662488632981	0.8248778819127961	0.8322425837355748
AR	0.6382874015748031	0.5993734772015314	0.1391447151113916	0.12091034832724934	0.8600922477170216	0.8779781461013925
AVPR1A	0.054133858267716536	0.05395057431256526	0.07877953800110518	0.045594424565175935	0.9029198853624693	0.9213417614085619
BACE2	0.2677165354330709	0.27184128089105464	0.020591882911996956	0.0072012915593436064	0.9704871726124431	0.9875575424860016
BASP1	0.6077755905511811	0.5972850678733032	0.059638316042464765	0.01787869684701599	0.9342383486392334	0.983360173031092
BTNL9	0.06200787401574803	0.07065784893839193	0.09124247698452963	0.08202095969123352	0.8998616581849422	0.8889029359468364
C1QA	0.10580708661417323	0.11451444483118692	0.07500789101900716	0.006087072921725261	0.8894007834570108	0.9749448470436469
C1QC	0.13533464566929135	0.14340410720501218	0.09483776694252473	0.031947811310036885	0.8748731231248008	0.9491914664976746
C2orf42	0.11023622047244094	0.11903933170901497	0.01197454009177247	0.007166557871801867	0.9846162075143693	0.9957468733585324
C6orf132	0.23179133858267717	0.211277410372433	0.042536063075237066	0.026996540823290786	0.9544044982506162	0.9830205973483099
CAV1	0.1860236220472441	0.19422206752523494	0.21563853431130184	0.1707065042006156	0.7629072120393964	0.7920919029831541
CCDC6	0.7701771653543307	0.7347720153150017	0.1161053021956837	0.0697415802391744	0.8826791158858107	0.9296604703607882
CCDC80	0.2573818897637795	0.2526975287156283	0.23678765448187364	0.17126555293043508	0.7311701210801987	0.8052654387087285
CCL5	0.07923228346456693	0.12530455969369997	0.1071700826086452	0.06529418467826462	0.8784139106554196	0.9039285271458976
CCPG1	0.4183070866141732	0.41385311521058127	0.024154077729614608	0.01905225828211687	0.9671186606441864	0.9774092777346609
CD14	0.16978346456692914	0.1802993386703794	0.07889782220625957	0.04602912865700236	0.8817390960427344	0.9351055498939997
CD163	0.11761811023622047	0.12252001392272885	0.10905961863190733	0.061232265065235894	0.8460159330009585	0.9180958425622392
CD247	0.051181102362204724	0.07935955447267665	0.05882573173322207	0.04131991885391081	0.9175549520321904	0.9321101108624357
CD3E	0.08562992125984252	0.13505046989209885	0.10404305832866564	0.08259977931381306	0.8662613370622335	0.8900361119242762
CD3G	0.05265748031496063	0.08771319178558998	0.07260401457460722	0.037487936213625124	0.912003928049106	0.9474660399953966
CD4	0.19832677165354332	0.22206752523494605	0.12454534808387116	0.06287624431895897	0.8489790401876753	0.9291261666997385
CD68	0.24507874015748032	0.25931082492168467	0.13722862509659114	0.07202232540549001	0.8393436099117815	0.9111089839487596
CD69	0.05905511811023622	0.07622694048033414	0.08511700402746261	0.03570082156879405	0.8943206044239339	0.9563535962711739
CD83	0.10137795275590551	0.10163592064044552	0.08912034131910711	0.008968300556566776	0.897752888706164	0.9753193522805977
CD86	0.08612204724409449	0.08458057779324747	0.04929283720607349	0.020327063272841995	0.929991000944801	0.9644357532856532
CD8A	0.09940944881889764	0.11764705882352941	0.0688026311417816	0.03822710398776501	0.9019151045101167	0.9332081787872287
CD9	0.8169291338582677	0.7883745214061956	0.21856622223245883	0.1526684984492476	0.7734992404656262	0.8416974813035369
CD93	0.1377952755905512	0.16568047337278108	0.15542569254266875	0.19538658246288088	0.8251839942415385	0.7642882430519742
CDC42EP1	0.09104330708661418	0.10059171597633136	0.005268099175841385	0.012688916302242566	0.9855347373866175	0.9714477013102922
CDH1	0.7539370078740157	0.7305951966585451	0.20702580701170858	0.1712705169522856	0.7879016149562733	0.8247493375753784
CEACAM6	0.20374015748031496	0.1949182039679777	0.06086981898949147	0.012585978063245339	0.9341494982198619	1.0011834045430874
CENPF	0.4089566929133858	0.403759136790811	0.08616527902010386	0.06096338974210438	0.9098027863905861	0.9464743428279943
CLDN4	0.36023622047244097	0.33693003828750434	0.05689757392022218	0.03851624377526826	0.942011088775736	0.9671711443070832
CLEC14A	0.09350393700787402	0.11834319526627218	0.18184484274663276	0.2085046463777235	0.8041309665738984	0.7458630285455204
CRISPLD2	0.1781496062992126	0.16011138183083884	0.06040629563940896	0.04160857014592975	0.9191813202541852	0.9376127506220872
CTTN	0.8966535433070866	0.8680821441002436	0.17152336400876816	0.14173517791838983	0.826378284715359	0.8523414866869243
CXCL12	0.3036417322834646	0.3076923076923077	0.22869641970623078	0.15327899966813313	0.7501229458903249	0.8173491290412033
CXCL16	0.28051181102362205	0.2666202575704838	0.01887962068316945	0.003132052252238191	0.9774710691358441	1.000950049655584
CXCR4	0.5260826771653543	0.5676992690567351	0.1055937805013466	0.051335234464707766	0.8869187004250926	0.9374748707850799
CYTIP	0.09202755905511811	0.13087365123564218	0.11031935026824463	0.08731246144607824	0.8682934898524807	0.8980198616912614
