row,col,fitted_celltype,Dataset,PCA1,PCA2,UMAP1,UMAP2,UMAP1_cluster,domain_cluster,Tumor_label
real_1,275.5392,35.85327,Stromal,Xenium Reference,-0.282168762814206,-1.55949488938716,2.80860661232443,-12.12245796768,6,Domain 2,Stromal
real_2,278.0286,37.28277,Invasive_Tumor,Xenium Reference,-2.77181623079428,-2.87052948870324,9.46102689468833,6.87868739517402,3,Domain 1,Tumor
real_3,276.4922,39.67286,Invasive_Tumor,Xenium Reference,-0.806447562745424,-3.2203558445329,9.64352582657309,-2.18559293596078,3,Domain 1,Tumor
real_4,278.6627,40.51038,Invasive_Tumor,Xenium Reference,-3.97240682012788,-2.98040438237258,8.64116262161704,3.48625232132148,3,Domain 1,Tumor
real_5,276.3401,41.62259,Invasive_Tumor,Xenium Reference,0.684096066143687,-3.30541158306232,9.47316621506186,-3.06997738925744,3,Domain 1,Tumor
real_6,275.8918,43.32998,Prolif_Invasive_Tumor,Xenium Reference,3.80539002024325,-2.63631080700124,9.31688855850668,-3.40309094039727,3,Domain 1,Tumor
real_7,277.2346,44.1958,Prolif_Invasive_Tumor,Xenium Reference,1.74713030091102,-2.36846530081165,9.2365844126937,-3.14891253558923,3,Domain 1,Tumor
real_8,278.854,44.85037,Stromal,Xenium Reference,1.98144467454921,-2.29959330170558,3.31254886352988,-12.4500365122967,6,Domain 2,Stromal
real_9,277.7155,46.13061,Endothelial,Xenium Reference,6.30801943588612,-1.73473396052563,7.62620805466147,-20.5976071223431,7,Domain 3,Tumor
real_10,273.6551,46.6023,Stromal,Xenium Reference,12.026142630239,-1.92164169205592,4.37642167770835,-18.475843892973,7,Domain 3,Tumor
real_11,273.4342,48.731,Stromal,Xenium Reference,10.113090641114,-2.44686426626489,4.25184081757041,-18.3154358729534,6,Domain 2,Stromal
real_12,276.8111,48.33642,Macrophages_1,Xenium Reference,6.79986367662804,-1.56217664126612,4.88192914688559,-11.9993777140789,6,Domain 2,Stromal
real_13,276.3976,51.14882,Prolif_Invasive_Tumor,Xenium Reference,1.80612531397763,-2.48715348625861,7.72323774063559,-2.70573531238366,3,Domain 1,Tumor
real_14,275.5672,53.16825,Invasive_Tumor,Xenium Reference,-1.64248599467138,-2.88536790387609,5.40127967560263,5.91734553726386,4,Domain 1,Tumor
real_15,274.1051,53.57626,Invasive_Tumor,Xenium Reference,-2.50277305177955,-3.01592940795958,7.91796849930258,2.75956488998603,3,Domain 1,Tumor
real_16,277.3824,53.7882,Invasive_Tumor,Xenium Reference,-3.20548530056735,-3.13609413853288,7.91211675369711,5.60757590683173,3,Domain 1,Tumor
real_17,275.9296,55.42281,Invasive_Tumor,Xenium Reference,-4.12734063563957,-3.47905292769111,7.72130368912192,10.4753565922565,2,Domain 1,Tumor
real_18,274.0341,55.94806,Invasive_Tumor,Xenium Reference,-4.36004624628298,-4.14352700031707,7.88490842545004,10.4140744343586,2,Domain 1,Tumor
real_19,278.8122,55.88155,Invasive_Tumor,Xenium Reference,-4.03980125671648,-3.68496544946761,7.08673547470542,11.5163111821003,2,Domain 1,Tumor
real_20,277.1388,57.99866,Invasive_Tumor,Xenium Reference,-4.58352005146918,-4.06003448825582,7.92044614517661,11.8498139515705,2,Domain 1,Tumor
real_21,275.0079,58.13227,Invasive_Tumor,Xenium Reference,-4.82209805678793,-4.19973008257685,8.8319270488021,12.2825579777546,2,Domain 1,Tumor
real_22,274.4485,59.56385,Invasive_Tumor,Xenium Reference,-4.63407613710836,-4.0999895572396,8.68753980362387,12.2648434773273,2,Domain 1,Tumor
real_23,276.2169,59.59872,Invasive_Tumor,Xenium Reference,-4.52178216237561,-4.33159201696803,8.25512002670737,12.1942153111286,2,Domain 1,Tumor
real_24,276.006,61.72517,Invasive_Tumor,Xenium Reference,-4.05050371449462,-4.02759485966405,8.19126008713217,11.9920134678669,2,Domain 1,Tumor
real_25,277.5522,61.55631,Invasive_Tumor,Xenium Reference,-4.07733811408353,-4.22999058919198,7.86727117264243,11.5246882572956,2,Domain 1,Tumor
real_26,274.1782,61.23306,Invasive_Tumor,Xenium Reference,-4.40331427035421,-4.20677921012062,8.76340459549399,12.2708592549152,2,Domain 1,Tumor
real_27,274.7653,63.47412,Invasive_Tumor,Xenium Reference,-3.7671521455725,-4.12543165929693,9.31323217117758,10.1928382054157,2,Domain 1,Tumor
real_28,277.8419,64.2022,Invasive_Tumor,Xenium Reference,-3.70933743940618,-4.02155598968545,9.58136628830405,10.0015425816364,2,Domain 1,Tumor
real_29,274.332,65.57156,Invasive_Tumor,Xenium Reference,-2.43233775733629,-4.19003324545236,7.26580785477133,4.26952697189521,3,Domain 1,Tumor
