optimizer_seed	metric	pearson_r	rmse	n_units
0	moran_i	0.9385088684656787	0.09741659897812101	7
0	geary_c	0.92351986608323	0.10475829658875907	7
1	moran_i	0.7985997367418054	0.13114314276082134	7
1	geary_c	0.8071555228504069	0.12855540316234565	7
2	moran_i	0.6751104627238027	0.1315239894167525	7
2	geary_c	0.6466204759617085	0.13757629579614578	7
3	moran_i	0.6878221061713465	0.137830261955176	7
3	geary_c	0.5064898322091002	0.1496857713410758	7
4	moran_i	0.9535232355015968	0.1450031754959131	7
4	geary_c	0.9103437788073196	0.14715326552245614	7
5	moran_i	0.6489531638944963	0.15573291450161642	7
5	geary_c	0.570627847397031	0.15446283763814328	7
6	moran_i	0.7764386787706312	0.11771610166830201	7
6	geary_c	0.7454527502724843	0.11704316224110416	7
7	moran_i	0.8549815131906391	0.1034556814494616	7
7	geary_c	0.8310467549865144	0.10047822991705178	7
8	moran_i	0.9804123512608861	0.10311263985842398	7
8	geary_c	0.9647074352223219	0.10910180237572174	7
9	moran_i	0.6778694307897994	0.1253549807060743	7
9	geary_c	0.6600445721095873	0.12428903070808102	7
