dataset	optimizer_seed	cell_type	n_cells	moran_i	geary_c
Xenium_reference	reference	Invasive_Tumor	1281	0.21726649141243892	0.7752174306233375
Xenium_reference	reference	Stromal	260	0.17586733807952762	0.8001096110435837
Xenium_reference	reference	Prolif_Invasive_Tumor	188	0.044361817510499855	0.9574357750265382
Xenium_reference	reference	Endothelial	127	0.14902887139107612	0.834025048050096
Xenium_reference	reference	Macrophages_1	98	0.060448367557984925	0.9175462454888882
Xenium_reference	reference	CD8+_T_Cells	30	0.07407925407925407	0.8893656343656341
Xenium_reference	reference	T_Cell_&_Tumor_Hybrid	20	0.006028827037773357	0.9526621520874754
SimSpace	0	Invasive_Tumor	1679	0.34147319638595963	0.6514720966806417
SimSpace	0	Stromal	303	0.36272759583650677	0.6068856308707794
SimSpace	0	Prolif_Invasive_Tumor	287	0.10561134109047514	0.9044688808618102
SimSpace	0	Endothelial	191	0.24200335140311047	0.7060428539436903
SimSpace	0	Macrophages_1	125	0.10330683945284382	0.8618250539956808
SimSpace	0	CD8+_T_Cells	123	0.03594417149207462	0.9320703924665142
SimSpace	0	T_Cell_&_Tumor_Hybrid	113	0.02600390141783234	0.9602916547721002
SimSpace	1	Invasive_Tumor	1340	0.43797991858887386	0.5623172320217096
SimSpace	1	Stromal	437	0.34604675505230575	0.6300494431865435
SimSpace	1	Prolif_Invasive_Tumor	289	0.10464161320412942	0.8938098511796939
SimSpace	1	Endothelial	148	0.08471135724739155	0.8961752071510541
SimSpace	1	Macrophages_1	148	0.06993848640225735	0.9177848524410657
SimSpace	1	CD8+_T_Cells	138	0.25914232930100717	0.7063057819169573
SimSpace	1	T_Cell_&_Tumor_Hybrid	113	0.030634025562365226	0.9567388598287229
SimSpace	2	Invasive_Tumor	1702	0.40462270770227204	0.5892894883111399
SimSpace	2	Stromal	408	0.3524810012762501	0.6199567815291797
SimSpace	2	Prolif_Invasive_Tumor	267	0.05914537881459832	0.9455063877552157
SimSpace	2	Endothelial	137	0.033102033702545657	0.9478299889184283
SimSpace	2	Macrophages_1	126	0.24889193163953552	0.6966633985270835
SimSpace	2	CD8+_T_Cells	120	0.060162947219270284	0.9181808655095047
SimSpace	2	T_Cell_&_Tumor_Hybrid	93	0.07973740803621954	0.9001931710997922
SimSpace	3	Invasive_Tumor	982	0.460978406464611	0.5478762605607126
SimSpace	3	Stromal	553	0.28168720914954204	0.7018297760918204
SimSpace	3	Prolif_Invasive_Tumor	181	0.284257165999734	0.6666350327018629
SimSpace	3	Endothelial	174	0.08380273214178248	0.9316190372309479
SimSpace	3	Macrophages_1	161	0.05145309279045015	0.9435422589294135
SimSpace	3	CD8+_T_Cells	155	0.07366856967379017	0.9023411873089432
SimSpace	3	T_Cell_&_Tumor_Hybrid	135	0.028425568425568436	0.9764121264121263
SimSpace	4	Invasive_Tumor	1241	0.46401707844181317	0.5385173959220169
SimSpace	4	Stromal	453	0.33168937802053977	0.6514062701974728
SimSpace	4	Prolif_Invasive_Tumor	233	0.13163354051569448	0.8775398142621051
SimSpace	4	Endothelial	217	0.3811177051862684	0.5756330028738076
SimSpace	4	Macrophages_1	153	0.05393188304753255	0.9276162722380205
SimSpace	4	CD8+_T_Cells	141	0.08668668838035619	0.9029313480817225
SimSpace	4	T_Cell_&_Tumor_Hybrid	117	0.024252262987985714	0.9507263610749236
SimSpace	5	Invasive_Tumor	1011	0.44015109210769426	0.5662775744285387
SimSpace	5	Stromal	518	0.3378199591514113	0.6482036625058688
SimSpace	5	Prolif_Invasive_Tumor	275	0.1369954379562044	0.8579659090909092
SimSpace	5	Endothelial	171	0.06879266255068571	0.9229850540986617
SimSpace	5	Macrophages_1	148	0.33802285467874105	0.6403687808118599
SimSpace	5	CD8+_T_Cells	135	0.032655168032526515	0.9634648370497432
SimSpace	5	T_Cell_&_Tumor_Hybrid	104	0.015006592011458708	0.9650686464403138
SimSpace	6	Invasive_Tumor	1342	0.4554332185621049	0.5447482048999915
SimSpace	6	Stromal	506	0.3130188084055452	0.659235692831991
SimSpace	6	Prolif_Invasive_Tumor	219	0.10924547328050789	0.902808421222775
SimSpace	6	Endothelial	150	0.03598564905414222	0.9570713633398567
SimSpace	6	Macrophages_1	129	0.06258862366989261	0.9184782608695651
SimSpace	6	CD8+_T_Cells	127	0.039254014892824214	0.9313928272542349
SimSpace	6	T_Cell_&_Tumor_Hybrid	118	0.06312183472774559	0.8975215058342555
SimSpace	7	Invasive_Tumor	1190	0.44675498690308274	0.5570747205793459
SimSpace	7	Stromal	507	0.29015909583771043	0.6887016326404165
SimSpace	7	Prolif_Invasive_Tumor	254	0.1030704981970711	0.9052749466480237
SimSpace	7	Endothelial	149	0.07752728642352022	0.9136108692626184
SimSpace	7	Macrophages_1	148	0.07290485607558773	0.8861136288727748
SimSpace	7	CD8+_T_Cells	146	0.05758320999744052	0.9098520803890363
SimSpace	7	T_Cell_&_Tumor_Hybrid	117	0.020433732376727153	0.9671805679934952
SimSpace	8	Invasive_Tumor	1485	0.4155945742840103	0.5802199517012859
SimSpace	8	Stromal	418	0.3242655317258204	0.6438066459042157
SimSpace	8	Prolif_Invasive_Tumor	199	0.08898125203621252	0.9153172542476626
SimSpace	8	Endothelial	159	0.251643613980025	0.6994061044000823
SimSpace	8	Macrophages_1	145	0.050479494765891426	0.9464079685820806
SimSpace	8	CD8+_T_Cells	120	0.08695248983739838	0.8831034838668702
SimSpace	8	T_Cell_&_Tumor_Hybrid	113	0.022871784004870478	0.942694910579443
SimSpace	9	Invasive_Tumor	1385	0.41323291233691406	0.585837457342565
SimSpace	9	Stromal	412	0.33921085223971137	0.6410964002595785
SimSpace	9	Prolif_Invasive_Tumor	321	0.1133302573365794	0.8942217073745379
SimSpace	9	Endothelial	153	0.08499374108617805	0.8965509280635332
SimSpace	9	Macrophages_1	125	0.030809472049689434	0.9640760869565219
SimSpace	9	CD8+_T_Cells	117	0.05394025693948297	0.9263366277685163
SimSpace	9	T_Cell_&_Tumor_Hybrid	102	0.19250126368361895	0.7641230790122902
