domain	cell_type	reference_fraction	simulated_fraction
Tumor	B_Cells	0.0	0.0
Tumor	CD4+_T_Cells	0.0	0.0
Tumor	CD8+_T_Cells	0.0006027727546714888	0.0
Tumor	Endothelial	0.07474382157926461	0.10598210080075365
Tumor	Invasive_Tumor	0.7691380349608198	0.7626000942063118
Tumor	Macrophages_1	0.0030138637733574444	0.002826189354686764
Tumor	Prolif_Invasive_Tumor	0.11211573236889692	0.12482336316533207
Tumor	Stromal	0.04038577456298975	0.002826189354686764
Tumor	T_Cell_&_Tumor_Hybrid	0.0	0.0009420631182289214
Stromal	B_Cells	0.04825737265415549	0.104
Stromal	CD4+_T_Cells	0.02680965147453083	0.009333333333333334
Stromal	CD8+_T_Cells	0.0777479892761394	0.15866666666666668
Stromal	Endothelial	0.00804289544235925	0.005333333333333333
Stromal	Invasive_Tumor	0.013404825737265416	0.0026666666666666666
Stromal	Macrophages_1	0.24932975871313673	0.15866666666666668
Stromal	Prolif_Invasive_Tumor	0.005361930294906166	0.006666666666666667
Stromal	Stromal	0.517426273458445	0.4053333333333333
Stromal	T_Cell_&_Tumor_Hybrid	0.05361930294906166	0.14933333333333335
