optimizer_seed	generation_seed	molecular_seed	n_cells	coordinate_hash	coordinate_matches_to_reference	parameter_file	parameter_file_sha256
0	0	0	2903	91b63eef216fa13d294f4dd547cf9379d72acd7a5887370e1a8a5efa921079cb	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_00.json	1233ece46c4321ed56fc5e4ffd98f829c8716a43dc3600a008d280bf43dfc51d
1	1	1	2715	ae4a1200877cc0c68ff53554040d3de03b204db4d28f7f88bd6af5d4c105ed45	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_01.json	8ea585b01821de243c82621b7edabe054d5bb04682d0104e424fab3ac81a2fb2
2	2	2	2943	7a6ecba8db5f350c626c5c18daf45000b100c7a37638986e70faa1cbb50a7dea	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_02.json	7ca52ae9d7ab03c6bbbbc64cfa745997df3e1af07721ff7d8950b4afbae69897
3	3	3	2466	5d2f35af8fc7a794d6a7e16cf513552bc7d237c545b74ea43c7c034d8e1697e7	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_03.json	33f4813e39e41bf39af3de5690f60a95712186eb12737efc5cb30287dcb4bf8a
4	4	4	2656	29422cdc0197f55b7141f7acd38c8d37b037db1befef09d4c5d9adc1fd49dbec	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_04.json	c651b80380b47a62b500ddd3f24428995c802d90b0e21c631e9ac413975f456e
5	5	5	2467	50525faa2bb68f97154ce7a55a09cbf4041ec6cf28246d9d09070835a7712bf8	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_05.json	a8d1f4fd49b7a6a6fabbcd7be8c73fa8c943844c56a0dd8c92fecf9fffccefcc
6	6	6	2705	23ab3e25cbd555d7d44550a03ecc53d6194039125ef886bd492a12486accd126	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_06.json	bdf6a4ca68e863e7d1647da34576c1469a46ec595419b98a52f276babaeb5225
7	7	7	2608	e9e10058bfa443f756448264709217466a8251216cf2cb24246547c6fefdeec5	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_07.json	a1c7d421262ea7233d4733c0ece65e2374c7da7547d9c4f017861bd6dbd4528a
8	8	8	2744	e622bdd785edb1118b9e69ef0924944f0dc8ca0e77264344ab6340a70d8bfb22	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_08.json	3ab09a8913327b2b329de7fef5bed8d2f36197515c139e7b64d02de22dd49532
9	9	9	2701	2dd98137038db9ff86cee8d0300cecd1e8d66f7f2d20f0380094c18688dae168	0	Panel_A_I_data/fitted_params/Xenium_calibration_seed_09.json	d6b6887cf4d140ce48f402d1312e5b27f63cf694c0118a76e93eb280e1e58464
