metric	value	unit	source_table
reference_cells	2032	cells	input
reference_genes	220	genes	input
independent_fitted_spatial_runs	10	optimizer seeds	seed_provenance.tsv
all_parameter_hashes_unique	1	boolean	seed_provenance.tsv
all_coordinate_hashes_unique	1	boolean	seed_provenance.tsv
maximum_coordinate_matches_to_reference	0	coordinates	seed_provenance.tsv
celltype_moran_i_pearson_r_median	0.7875192077562183	Pearson r	celltype_agreement.tsv
celltype_moran_i_pearson_r_range	0.648953,0.980412	min,max	celltype_agreement.tsv
celltype_geary_c_pearson_r_median	0.7763041365614456	Pearson r	celltype_agreement.tsv
celltype_geary_c_pearson_r_range	0.506490,0.964707	min,max	celltype_agreement.tsv
whole_layout_ripley_pearson_r_median	0.9896939829864686	pearson_r	whole_layout_ripley_agreement.tsv
whole_layout_ripley_pearson_r_range	0.988786,0.991421	min,max	whole_layout_ripley_agreement.tsv
whole_layout_ripley_rmse_median	0.0024713049894617206	rmse	whole_layout_ripley_agreement.tsv
whole_layout_ripley_rmse_range	0.001859,0.004492	min,max	whole_layout_ripley_agreement.tsv
gene_moran_i_pearson_r	0.917259615678213	Pearson r	gene_agreement.tsv
gene_moran_i_rmse	0.04011593408130388	metric units	gene_agreement.tsv
gene_geary_c_pearson_r	0.9002482045329845	Pearson r	gene_agreement.tsv
gene_geary_c_rmse	0.04413381994230672	metric units	gene_agreement.tsv
eligible_genes	202	genes	gene_agreement.tsv
expression_log1p_mean_count_pearson_r	0.9982602526974481	Pearson r	../Panel_J_K_data/expression_agreement.tsv
expression_log1p_mean_count_rmse	0.039192067558374524	log1p summary units	../Panel_J_K_data/expression_agreement.tsv
expression_log1p_variance_pearson_r	0.9858857580574139	Pearson r	../Panel_J_K_data/expression_agreement.tsv
expression_log1p_variance_rmse	0.17997214678719461	log1p summary units	../Panel_J_K_data/expression_agreement.tsv
expression_shared_genes	220	genes	../Panel_J_K_data/expression_agreement.tsv
molecular_replicate_pearson_r_median	0.9957099409248416	Pearson r	../Panel_L_data/molecular_replicate_agreement.tsv
molecular_replicate_pearson_r_range	0.983797,0.998643	min,max	../Panel_L_data/molecular_replicate_agreement.tsv
molecular_replicate_rmse_median	0.06425779637656868	log1p mean-count units	../Panel_L_data/molecular_replicate_agreement.tsv
molecular_replicate_rmse_range	0.033194,0.118894	min,max	../Panel_L_data/molecular_replicate_agreement.tsv
independent_fit_molecular_realizations	10	fitted runs	../Panel_L_data/molecular_replicate_agreement.tsv
colocalization_pearson_r_median	0.9288543407003158	pearson_r	colocalization_agreement.tsv
colocalization_pearson_r_range	0.736568,0.968735	min,max	colocalization_agreement.tsv
colocalization_rmse_median	0.009673412973322065	rmse	colocalization_agreement.tsv
colocalization_rmse_range	0.005322,0.011579	min,max	colocalization_agreement.tsv
niche_encoded_niche_vs_BANKSY_ARI_all_simulated_cells	0.6900198111629443	encoded_niche_vs_BANKSY_ARI	niche_concordance.tsv
niche_encoded_niche_vs_BANKSY_NMI_all_simulated_cells	0.5877563114219154	encoded_niche_vs_BANKSY_NMI	niche_concordance.tsv
niche_domain_composition_pearson_r_Tumor	0.9974059878748232	domain_composition_pearson_r	niche_concordance.tsv
niche_domain_composition_rmse_Tumor	0.01697078247101757	domain_composition_rmse	niche_concordance.tsv
niche_domain_composition_pearson_r_Stromal	0.9219218730239038	domain_composition_pearson_r	niche_concordance.tsv
niche_domain_composition_rmse_Stromal	0.06669219992005568	domain_composition_rmse	niche_concordance.tsv
