optimizer_seed	generation_seed	molecular_seed	pearson_r	rmse	n_genes
0	0	0	0.9984624291505964	0.03515587588163904	220
1	1	1	0.9969177004142891	0.054304097609657126	220
2	2	2	0.9986431018999912	0.033193943257732776	220
3	3	3	0.9837972901343305	0.11889400377303726	220
4	4	4	0.9929912805733568	0.08246570637866855	220
5	5	5	0.9914451719334192	0.0918284251628129	220
6	6	6	0.9947977090227609	0.07037940862903257	220
7	7	7	0.9929670435445404	0.0829205466287144	220
8	8	8	0.9966221728269221	0.05813618412410481	220
9	9	9	0.997815154903216	0.04570672506443917	220
